,mixed,background,foreground,count
"(0, 0, 248, 232, 232, 224)",[255 255 251],[236 235 221],[274. 275. 281.],1
"(232, 240, 224, 0, 0, 0)",[234 238 226],[255 255 255],[725. 733. 709.],1
"(248, 248, 0, 248, 248, 248)",[251 252 255],[251 252 248],[251. 252. 262.],1
"(232, 232, 232, 248, 0, 0)",[236 236 230],[251 253 253],[733. 731. 719.],1
"(248, 248, 248, 248, 248, 0)",[249 250 246],[252 251 253],[758. 761. 751.],2
"(0, 0, 0, 232, 240, 232)",[255 254 255],[236 238 232],[274. 270. 278.],2
"(232, 232, 224, 0, 0, 0)",[233 236 227],[253 255 254],[725. 729. 712.],6
"(240, 232, 240, 240, 248, 248)",[240 235 237],[243 245 245],[749. 737. 741.],1
"(240, 240, 248, 0, 248, 0)",[243 238 247],[253 252 254],[745. 736. 752.],1
"(224, 232, 232, 0, 0, 0)",[228 231 236],[255 255 255],[713. 719. 729.],3
"(0, 0, 0, 240, 224, 240)",[255 253 255],[239 227 239],[271. 279. 271.],1
"(0, 0, 248, 248, 240, 248)",[253 255 252],[247 238 248],[259. 272. 256.],1
"(248, 248, 248, 248, 248, 240)",[252 252 252],[249 248 244],[255. 256. 260.],1
"(224, 232, 232, 224, 224, 224)",[228 234 233],[227 227 227],[229. 241. 239.],1
"(216, 216, 216, 248, 248, 248)",[220 220 220],[251 251 251],[701. 701. 701.],1
"(240, 240, 232, 248, 248, 248)",[240 239 235],[252 252 252],[740. 738. 730.],2
"(224, 232, 216, 240, 240, 240)",[227 231 220],[244 244 244],[722. 730. 708.],1
"(240, 232, 232, 248, 248, 248)",[237 236 232],[252 252 252],[734. 732. 724.],5
"(232, 232, 232, 240, 240, 232)",[231 231 231],[239 238 234],[735. 736. 740.],1
"(240, 240, 240, 232, 224, 232)",[244 244 244],[235 228 231],[253. 260. 257.],1
"(240, 240, 240, 232, 240, 232)",[239 239 239],[231 237 232],[247. 241. 246.],1
"(232, 232, 224, 240, 240, 240)",[233 236 227],[244 244 244],[734. 740. 722.],2
"(232, 224, 232, 240, 232, 240)",[232 227 229],[240 235 237],[736. 731. 733.],1
"(232, 224, 232, 248, 248, 248)",[235 228 233],[248 248 248],[734. 720. 730.],1
"(240, 240, 240, 240, 232, 240)",[241 244 242],[239 236 238],[243. 252. 246.],1
"(248, 240, 248, 232, 232, 232)",[247 238 248],[231 231 231],[263. 245. 265.],1
"(240, 240, 240, 240, 232, 232)",[241 244 242],[240 236 235],[242. 252. 249.],1
"(0, 248, 0, 248, 240, 232)",[255 252 255],[249 240 236],[261. 264. 274.],1
"(0, 0, 0, 224, 232, 216)",[255 255 254],[227 231 220],[283. 279. 288.],3
"(0, 248, 0, 232, 232, 232)",[255 252 255],[232 232 232],[278. 272. 278.],1
